;WHEAT;SUGARBEET;ANNUAL CROPLAND;PERENNIAL CROPLAND;MISCANTHUS;IMPROVED GRASSLAND;DEGRADED GRASSLAND;FORESTLAND30;FORESTPLANTATIONS<20YRS;FORESTPLANTATIONS>20YRS;DEBUG
CVEG;0;0;0;0;0;5.566666667;5.566666667;84;9;60;64
SOC;64.73754052;64.73754052;64.73754052;80.84444444;80.84444444;90.2652;49.93333333;71.33333333;71.33333333;71.33333333;51.33333333
